year,bend_point_1,bend_point_2
1979,$180 ,"$1,085 "
1980,194,"1,171"
1981,211,"1,274"
1982,230,"1,388"
1983,254,"1,528"
1984,267,"1,612"
1985,280,"1,691"
1986,297,"1,790"
1987,310,"1,866"
1988,319,"1,922"
1989,339,"2,044"
1990,356,"2,145"
1991,370,"2,230"
1992,387,"2,333"
1993,401,"2,420"
1994,422,"2,545"
1995,426,"2,567"
1996,437,"2,635"
1997,455,"2,741"
1998,477,"2,875"
1999,505,"3,043"
2000,531,"3,202"
2001,561,"3,381"
2002,592,"3,567"
2003,606,"3,653"
2004,612,"3,689"
2005,627,"3,779"
2006,656,"3,955"
2007,680,"4,100"
2008,711,"4,288"
2009,744,"4,483"
2010,761,"4,586"
2011,749,"4,517"
2012,767,"4,624"
2013,791,"4,768"
2014,816,"4,917"
2015,826,"4,980"
2016,856,"5,157"
2017,885,"5,336"
2018,895,"5,397"